Place,Year
"Angelo Raffaele (Parrocchia, Campo, Rio, Pon te dell’).",1862
"Angelo Raffaele (Parrocchia, Campo, Rio, Pon te dell’).",1862
Anguria (Ponte e Corte della)  a S. Cassiano.,1661
Annunziata (Calle della)  a S. Francesco della Vigna.,1525
Annunziata (Calle della)  a S. Francesco della Vigna.,1585
Annunziata (Calle della)  a S. Francesco della Vigna.,1607
"Annunziata (Sottoportico, Corte della)  a S. Maria Formosa.",1562
"Annunziata (Sottoportico, Corte della)  a S. Maria Formosa.",1681
Aquila nera (Calle della)  a S. Bartolammeo.,1661
Aquila nera (Calle della)  a S. Bartolammeo.,1713
Arco (Calle dell’)  detta Bon  in «Ruga Giuffa».,1713
Arco (Calle dell’)  detta Bon  in «Ruga Giuffa».,1740
"Armeni (Calle, Ramo d egli) a S. Giuliano.",1253
"Armeni (Calle, Ramo d egli) a S. Giuliano.",1496
"Armeni (Calle, Ramo d egli) a S. Giuliano.",1550
"Armeni (Calle, Ramo d egli) a S. Giuliano.",1682
"Armeni (Calle, Ramo d egli) a S. Giuliano.",1703
Arnaldi (Ramo)  a S. Pantaleone.,1240
Arnaldi (Ramo)  a S. Pantaleone.,1541
Arnaldi (Ramo)  a S. Pantaleone.,1686
"Arrigoni (Calle)  a S. Alvise, sopra la «Fondamenta Rio della Sensa».",1711
"Ascension (C alle, Ramo Primo, Calle Seconda, Ramo Secondo dell’)  a S. Marco.",1312
"Ascension (C alle, Ramo Primo, Calle Seconda, Ramo Secondo dell’)  a S. Marco.",1324
"Ascension (C alle, Ramo Primo, Calle Seconda, Ramo Secondo dell’)  a S. Marco.",1336
"Ascension (C alle, Ramo Primo, Calle Seconda, Ramo Secondo dell’)  a S. Marco.",1516
"Ascension (C alle, Ramo Primo, Calle Seconda, Ramo Secondo dell’)  a S. Marco.",1597
"Ascension (C alle, Ramo Primo, Calle Seconda, Ramo Secondo dell’)  a S. Marco.",1810
"Ascension (C alle, Ramo Primo, Calle Seconda, Ramo Secondo dell’)  a S. Marco.",1824
Aséo (Calle e Ponte dell’)  ai SS. Ermagora e Fortunato.,1550
Aséo (Calle e Ponte dell’)  ai SS. Ermagora e Fortunato.,1587
Aséo (Calle e Ponte dell’)  ai SS. Ermagora e Fortunato.,1650
Aséo (Calle e Ponte dell’)  ai SS. Ermagora e Fortunato.,1715
Aséo (Calle e Ponte dell’)  ai SS. Ermagora e Fortunato.,1740
Aséo (Calle e Ponte dell’)  ai SS. Ermagora e Fortunato.,1761
"Assassini (Rio Terrà, Calle degli)  a S. Benedetto.",1128
Astori (Ramo)  a S. Agosti no.,1740
Astori (Ramo)  a S. Agosti no.,1751
Astori (Ramo)  a S. Agosti no.,1795
Astori (Ramo)  a S. Agosti no.,1800
Avogadro (Ponte)  a S. Maria Formosa.,1437
Avogadro (Ponte)  a S. Maria Formosa.,1495
Avogadro (Ponte)  a S. Maria Formosa.,1512
Avogadro (Ponte)  a S. Maria Formosa.,1632
Avogadro (Ponte)  a S. Maria Formosa.,1635
Avogadro (Ponte)  a S. Maria Formosa.,1697
"Avogarìa (Ponte, Rio, Ramo, Calle della)  a S. Barnaba.",1750
"Badoer (Ramo, Sottoportico, Corte)  ai Frari.",1250
"Badoer (Ramo, Sottoportico, Corte)  ai Frari.",1666
"Badoer (Ramo, Sottoportico, Corte)  ai Frari.",1670
"Badoer (Ramo, Sottoportico, Corte)  ai Frari.",1713
"Badoer (Ramo, Sottoportico, Corte)  ai Frari.",1714
Baffo (Ramo)  a S. Ternita.,827
Baffo (Ramo)  a S. Ternita.,1034
Baffo (Ramo)  a S. Ternita.,1222
Baffo (Ramo)  a S. Ternita.,1297
Baffo (Ramo)  a S. Ternita.,1308
Baffo (Ramo)  a S. Ternita.,1499
Baffo (Ramo)  a S. Ternita.,1568
Baffo (Ramo)  a S. Ternita.,1650
Baffo (Ramo)  a S. Ternita.,1656
Baffo (Ramo)  a S. Ternita.,1657
Baffo (Ramo)  a S. Ternita.,1694
Baffo (Ramo)  a S. Ternita.,1768
"Bagatìn (Calle, Rio Terrà del)  a S. Canciano.",1642
"Bagatìn (Calle, Rio Terrà del)  a S. Canciano.",1642
"Bagatìn (Calle, Rio Terrà del)  a S. Canciano.",1773
Baghei (Calle dei)  a S. Nicolò.,1700
Baghei (Calle dei)  a S. Nicolò.,1740
Balanze (Calle delle)  detta di Mezzo  a S. Luca.,1661
Balanze (Calle delle)  detta di Mezzo  a S. Luca.,1773
"Balastro (Calle, Ramo, Sottoportico, Campiello)  a S. Basilio.",1211
"Balastro (Calle, Ramo, Sottoportico, Campiello)  a S. Basilio.",1350
"Balastro (Calle, Ramo, Sottoportico, Campiello)  a S. Basilio.",1356
"Balastro (Calle, Ramo, Sottoportico, Campiello)  a S. Basilio.",1379
"Balastro (Calle, Ramo, Sottoportico, Campiello)  a S. Basilio.",1514
"Balbi o Morosini (Sottoportico, Corte)  a S. Benedetto.",1713
Baldini (Corte)  a S. Marta.,1740
"Balloni (Calle, Sottoportico, Corte dei)  a S. Marco.",1566
"Ballotte (Calle, Ponte delle)  a S. Salvatore.",1283
"Ballotte (Calle, Ponte delle)  a S. Salvatore.",1421
"Ballotte (Calle, Ponte delle)  a S. Salvatore.",1481
"Ballotte (Calle, Ponte delle)  a S. Salvatore.",1523
"Banchetto (Sottoportico e Corte, Ramo Corte del)  a «S. Giuliano».",506
"Banchetto (Sottoportico e Corte, Ramo Corte del)  a «S. Giuliano».",1499
"Banchetto (Sottoportico e Corte, Ramo Corte del)  a «S. Giuliano».",1795
"Banchetto (Sottoportico e Corte, Ramo Corte del)  a «S. Giuliano».",1841
Banco giro (Sottoportico del)  a Rialto.,1157
Banco giro (Sottoportico del)  a Rialto.,1524
Banco giro (Sottoportico del)  a Rialto.,1584
Bandiera e Moro (Piazza)  a S. Giovanni in Bragora.,1844
Barbarigo (Corte)  all’Angelo Raffaele.,1592
Barbarigo (Corte)  all’Angelo Raffaele.,1592
"Barbaro (Corte, Fondamenta, Ramo, Fondamenta, Calle)  a S. Vitale.",868
"Barbaro (Corte, Fondamenta, Ramo, Fondamenta, Calle)  a S. Vitale.",1121
"Barbaro (Corte, Fondamenta, Ramo, Fondamenta, Calle)  a S. Vitale.",1259
"Barbaro (Corte, Fondamenta, Ramo, Fondamenta, Calle)  a S. Vitale.",1450
"Barbaro (Corte, Fondamenta, Ramo, Fondamenta, Calle)  a S. Vitale.",1491
"Barbaro (Corte, Fondamenta, Ramo, Fondamenta, Calle)  a S. Vitale.",1499
"Barbaro (Corte, Fondamenta, Ramo, Fondamenta, Calle)  a S. Vitale.",1514
"Barbaro (Corte, Fondamenta, Ramo, Fondamenta, Calle)  a S. Vitale.",1524
"Barbaro (Corte, Fondamenta, Ramo, Fondamenta, Calle)  a S. Vitale.",1557
