Abate
Abazia
Accademia
Acqua dolce
Acquavita
Acque
Agnello
Albanesi
Alberegno
Albero
Alberti
Albrizzi
Algarotti
Algherotto
Alimante
Almatea
Amadi
Amai
Amaltea
Ambasciatore
Ambassador
Amigoni
Amor degli amici
Anatomia
Ancillotto
Anconetta
Ancore
Angaran detto Zen
Angelo
Angelo Emo
Angelo Raffaele
Angelo detta della Torre
Anguria
Annunziata
Anton io Foscarini
Aquila nera
Arco
Arco celeste
Arco detta Bon
Ariani
Armeni
Arnaldi
Arrigoni
Arsenale
Arzere
Ascension
Assassini
Astori
Astrologo
Aséo
Avogadro
Avogarìa
Avvocati
Baccalà
Badoer
Baffo
Bagatìn
Baghei
Baglioni
Baiamonte Tiepolo
Balanze detta di Mezzo
Balastro
Balbi
Balbi dai colori
Balbi o Morosini
Baldini
Baldàn
Balleràn
Balloni
Ballotte
Balà
Banchetto
Banco Salviati
Banco giro
Bande
Bandi
Bandiera
Bandiera e Moro
Bao
Barba fruttarol
Barbaria delle tole
Barbarigo
Barbaro
Barbier
Barbo
Barcaroli
Baretteri
Bari
Barozzi
Barucchi
Barzizza
Basadonna
Basegò
Bassa
Bastion
Battagia
Battello
Battocchio
Beccarie
Beccher
Beccherie
Bella
Bella Vienna
Bembo
Bembo detta del Malcanton
Benedetto
Benzon
Bergama
Bergamaschi
Berlendis
Berlomeni
Bernardo
Bersaglio
Bevilacqua
Bezzo
Bianca Cappello
Bianchi
Bianco
Biasio
Birri
Bisati
Biscotella
Bissa
Bo
Bocca de Piazza
Boldù
Bollani
Bolza
Bombardieri
Bombaseri
Bon
Bonazza
Bonfadini
Bonlini
Borella
Borgo
Borgoloco
Borsa
Bosello
Botta
Botteghe
Botter
Bottera
Botteri
Bottonera
Braccio nudo
Bragadin
Bragadin o Carabba
Bragadin o Pinelli
Brandolin o Carabba
Braso
Brato
Brazzo
Brentana
Bressana
Briani
Briati
Brusà
Buranelli
Buratello
Burchielle
Burcio
Busello
Businello
Buso
Bòccole
Bògnolo
Cadena
Cadonici
Caffettier
Cagnoletto
Calbo
Calcina
Calderer
Calegheri
Calergi
Caliari
Calice
Calle
Callegheri
Callesella
Calleselle
Camerale
Camerini
Campanati
Campane
Campaniel
Campanile
Campanile detta Civran
Campanile detta dei Preti
Campazzo
Campiello
Campo
Campo di Marte
Canal
Canal Morto
Canalazzo
Canale
Candele
Cannaregio
Canne
Canonica
Canossiane
Caorlina
Caotorta
Capara
Caparozzolo
Capitello
Cappellan
Cappellera
Cappellis
Cappello
Cappello o dei Garzoti
Cappellèr
Cappuccine
Capuzzi
Carabba
Carampane
Carbon
Cariole
Carità
Carlo Coletti
Carminati
Carmine
Carmini
Carnace
Carro
Carrozze
Casarìa
Cascada
Case Nuove
